用語,コード,カテゴリ,説明,総意率3,総意率2,総意率1,情報Ⅱ,情報Ⅰ,社情H29,情科H29,社情H25,情科H25,情報A3,情報B3,情報C3,情報A2,情報B2,情報C2,情報A1,情報B1,情報C1
オプトアウト,１イ,個人の権利,ユーザーが情報を受け取る際や自らに関する情報を利用される際などに許諾しない意思を示す行為,0.376 ,0.142 ,,東21,東12実13,第S1,第J1,,,,,,,,,,,
忘れられる権利,１イ,個人の権利,記録にとどめられるべき正当な条件を持たない過去の個人にまつわる情報を削除する個人の権利,0.452 ,0.079 ,,,東12実11実12実13,実S1実S2,,,,,,,,,,,,
匿名性,１イ;２ア,個人の権利,本人の発言や行動により本人が不利益を被らないように本人の身元を隠すこと,0.628 ,0.692 ,0.551 ,,東11東12実14数12日11,東S1東S2数S1数S2日S1日S2数s1日s1日s2,実J1実J2数J1,東s1実s1数s1日s1日s2,実j1実j2,開A1,第B1,日C1第C1教c1,,,教c1第c1教f1,,,教f1清f1第f1
無体財産|知的財産,１イ,知的財産,人間の知的活動によって生み出されたアイデアや創作物で財産的な価値を持つものをを総称して言う,0.701 ,0.518 ,0.414 ,,実11実12開11数12日11第11,数S1数S2第S1数s1日s1,数J1第J1数j1,数s1日s1,数j1,啓A2数A1,,啓C1数C1,数a1啓d1,数b1,啓f1,啓d1,,啓f1数f1
無体財産権|知的財産権,１イ,知的財産,知的財産に関する権利,1.000 ,1.000 ,0.861 ,東21日21,東11東12実11実12実13実14開11数11数12日11日12第11,東S1東S2実S1実S2開S1数S1数S2日S1日S2第S1数s1日s1日s2,実J1実J2数J1日J1第J1数j1日j1,東s1実s1実s2開s1数s1日s1日s2第s1,実j1実j2数j1日j1,東A1実A1実A2教A1啓A1啓A2数A1日A1第A1実a1一a1日a1実d1,実B1開B1啓B1日B1第B1実b1,実C1開C1啓C1数C1日C1第C1実c1一c1実f1オf1,実a1開a1教a1数a1一a1日a1第a1実d1暁d1学d1,実b1開b1日b1,実c1開c1数c1一c1日c1第c1実f1啓f1オf1,実d1暁d1第d1学d1,日e1,実f1啓f1日f1オf1第f1
工業所有権|産業財産権,１イ,産業財産権,知的財産権のうち、特許権、実用新案権、意匠権及び商標権の４つ,1.000 ,0.930 ,0.745 ,日21,東11東12実11実12実13実14開11数11数12日11日12第11,東S1東S2実S1実S2開S1数S1数S2日S1日S2第S1数s1日s1日s2,実J1実J2数J1日J1第J1数j1日j1,東s1実s2開s1数s1日s1日s2第s1,東j1実j1実j2数j1日j1,東A1実A1実A2教A1啓A1啓A2数A1日A1第A1実a1日a1実d1,実B1開B1啓B1日B1実b1,実C1開C1啓C1数C1日C1実c1実f1オf1,実a1数a1日a1第a1実d1啓d1,実b1数b1,実c1数c1日c1実f1啓f1オf1,実d1啓d1数d1,,実f1啓f1数f1オf1
特許権,１イ,産業財産権,特許を受けた発明を独占的に実施することができる権利,0.868 ,0.799 ,0.720 ,,東11東12実11実12実13実14数11数12日11日12第11,東S1東S2実S1実S2数S1数S2日S2数s1日s1日s2,実J1実J2数J1数j1日j1,東s1実s1実s2数s1日s1日s2第s1,実j1実j2数j1日j1,実A1数A1日A1第A1実a1日a1実d1,実B1数B1日B1実b1,実C1数C1日C1第C1実c1実f1オf1,実a1数a1日a1第a1東d1実d1学d1,実b1数b1,実c1数c1第c1実f1オf1,東d1実d1数d1第d1学d1,,実f1数f1日f1オf1第f1
実用新案権,１イ,産業財産権,物品の形状、構造または組み合わせに係る考案を保護するための権利,0.868 ,0.748 ,0.669 ,,東11東12実11実12実13実14数11数12日11日12第11,東S1実S1実S2数S1数S2日S2数s1日s1日s2,実J1実J2数J1数j1日j1,実s1実s2数s1日s1日s2第s1,実j1実j2数j1日j1,実A1数A1日A1第A1実a1日a1実d1,実B1数B1日B1実b1,実C1数C1日C1第C1実c1実f1オf1,実a1日a1第a1実d1,実b1,実c1日c1第c1実f1オf1,実d1,,実f1日f1オf1
意匠権,１イ,産業財産権,工業デザインを守る権利,0.868 ,0.748 ,0.669 ,,東11東12実11実12実13実14数11数12日11日12第11,東S1実S1実S2数S1数S2日S2数s1日s1日s2,実J1実J2数J1数j1日j1,実s1実s2数s1日s1日s2第s1,実j1実j2数j1日j1,実A1数A1日A1第A1実a1日a1実d1,実B1日B1実b1,実C1数C1日C1実c1実f1オf1,実a1数a1日a1第a1実d1,実b1数b1,実c1数c1日c1実f1オf1,実d1数d1第d1,,実f1数f1日f1オf1
商標権,１イ,産業財産権,商品又はサービスについて使用する商標に対して与えられる独占排他権,0.868 ,0.722 ,0.745 ,,東11東12実11実12実13実14数11数12日11日12第11,東S1実S2数S1数S2日S2数s1日s1日s2,実J1実J2数J1数j1日j1,実s2数s1日s1日s2第s1,実j1実j2数j1日j1,実A1数A1日A1第A1実a1日a1実d1,実B1日B1実b1,実C1数C1日C1第C1実c1実f1オf1,実a1数a1日a1第a1実d1,実b1数b1,実c1数c1日c1第c1実f1オf1,実d1数d1第d1,,実f1数f1日f1オf1第f1
