用語,コード,カテゴリ,説明,総意率3,総意率2,総意率1,情報Ⅱ,情報Ⅰ,社情H29,情科H29,社情H25,情科H25,情報A3,情報B3,情報C3,情報A2,情報B2,情報C2,情報A1,情報B1,情報C1
上映権,１イ,著作権,著作権のうち、映画などを上映する権利,0.426 ,,0.108 ,,実11実12日11,,,,,第A1,,第C1,,,,,,
公衆送信権,１イ,著作権,著作権のうち、サーバー等に置いてネットに公開する権利,0.452 ,0.453 ,0.414 ,,実11実12日11日12,開S1日s1日s2,,開s1日s1日s2,,開A1教A1第A1一a1,,数C1第C1一c1,一a1,,数c1一c1,,,
展示権,１イ,著作権,著作権のうち、作品を展示する権利,0.426 ,0.238 ,0.181 ,,実11実12日11,日s2,,日s2,,第A1,,数C1,,,数c1,,,
譲渡権,１イ,著作権,著作権のうち、映画以外の著作物の原作品や複製物を譲渡する権利,0.426 ,0.238 ,0.051 ,,実11実12日12,日s2,,日s2,,,,第C1,,,,,,
著作隣接権,１イ,著作権,著作物の伝達に重要な役割を果たす実演家、レコード製作者、放送事業者等に認められた権利,0.834 ,0.847 ,0.600 ,日21,実11実12実13実14開11数11数12日11日12第11,実S1実S2開S1数S1数S2日S1日S2第S1数s1日s1日s2,実J1実J2数J1日J1第J1数j1日j1,実s1実s2開s1数s1日s1日s2第s1,実j1実j2数j1日j1,実A1実A2開A1啓A1第A1実a1清a1実d1,実B1第B1実b1,実C1開C1啓C1日C1第C1実c1実f1,実a1開a1清a1第a1実d1,実b1,実c1日c1実f1,実d1開d1,,実f1日f1
引用,１イ,著作権,正当な範囲内で著作物に他の著作物の一部を取り込むこと,0.847 ,0.829 ,0.679 ,東21,東11東12実11実12実13開11数12日12第11,東S1東S2実S1開S1数S1数S2日S1日S2第S1日s1日s2,東J1実J2数J1日J1第J1日j1,東s1開s1日s1日s2第s1,東j1実j2日j1,東A1開A1教A1日A1第A1一a1日a1一d1,開B1,啓C1日C1第C1教c1,開a1教a1一a1日a1第a1東d1一d1,,教c1教f1啓f1,東d1開d1一d1第d1,,教f1啓f1
CCライセンス|クリエイティブコモンズ|クリエイティブコモンズライセンス|クリエイティブ・コモンズ|クリエイティブ・コモンズ・ライセンス,１イ,著作権,クリエイティブ・コモンズ活動が推奨する、6つの著作権表明のかたち,0.692 ,0.707 ,0.057 ,,東11東12実11実12実13開11第11,東S1東S2実S1実S2開S1数S1第S1日s1,東J1実J1数J1日J1第J1日j1,東s1日s1,東j1日j1,東A1,,,,,,,,
方式主義,１イ,著作権,著作物が著作権の保護を受けるために一定の方式を要する主義,0.608 ,0.453 ,,,実11実12実13数11数12日11,実S2数S1数S2数s1,数J1日j1,数s1第s1,日j1,,,,,,,,,
無方式主義,１イ,著作権,著作物が著作権の保護を受けるためになんの方式も必要としない主義,0.608 ,0.518 ,0.051 ,,実11実12実13数11数12日11,実S2数S1数S2数s1日s1,数J1日J1日j1,数s1日s1,日j1,,,日C1,,,,,,
可用性,１イ,情報セキュリティ,情報セキュリティ3要素の1つで、情報が必要なときに利用できること,0.834 ,0.501 ,0.181 ,東21実21日21,東11東12実11実12実13実14数11日11日12第11,数S1第S1日s1,東J1数J1第J1,日s1第s1,東j1,,,,,,第c1,,,第f1
完全性,１イ,情報セキュリティ,情報セキュリティ3要素の1つで、情報が失われたり改ざんされたりしないこと,0.834 ,0.489 ,0.181 ,東21実21日21,東11東12実11実12実13実14数11日11日12第11,数S1第S1日s1,東J1数J1第J1,日s1,東j1,,,,,,第c1,,,第f1
機密性,１イ,情報セキュリティ,情報セキュリティ3要素の1つで、情報が権利のない人に使われないこと,0.834 ,0.501 ,0.181 ,東21実21日21,東11東12実11実12実13実14数11日11日12第11,数S1第S1日s1,東J1数J1第J1,日s1第s1,東j1,,,,,,第c1,,,第f1
ソーシャルエンジニアリング|ソーシャル・エンジニアリング,１イ,情報セキュリティ,情報技術以外の方法で情報を不正入手すること,0.868 ,0.659 ,0.186 ,東21,東11東12実11実12実13実14数11数12日11日12第11,実S2開S1数S1数S2日S2数s1日s1日s2,数J1数j1日j1,実s2数s1日s1日s2,数j1日j1,,日B1,数C1,,日b1,,,,
セキュリティアップデート,１イ,情報セキュリティ,ソフトウェアの更新で、セキュリティ上の問題に対処するもの,0.376 ,0.405 ,,,東12第11,第S1,東J1第J1,第s1,東j1,,,,,,,,,
アップデート,１イ;３イ,情報セキュリティ,ソフトウェアの更新,0.473 ,0.258 ,,,実13日12第11,日s2,日j1,日s2,日j1,,,,,,,,,
情報セキュリティ,１イ;４ア,情報セキュリティ,情報に関する安全性,0.891 ,0.814 ,0.181 ,東21実21日21,東11東12実11実12実14開11数12日11日12第11,東S1東S2実S2開S1数S1数S2日S1第S1数s1日s1,実J1数J1第J1数j1,実s2開s1数s1日s1第s1,実j1数j1,開A1,,数C1,,,数c1,,,
ディジタル署名|デジタル署名,１イ;４ア,情報セキュリティ,電子文書に対する本人性や非改ざん性を示す方式で、公開鍵暗号技術を用いたもの,0.692 ,0.678 ,0.619 ,東21日21,東11東12実13実14数11数12第11,実S1実S2数S1数S2第S1数s1日s2,東J1実J1数J1第J1数j1,実s1数s1日s2第s1,東j1数j1,,数B1,実C1数C1実c1教c1一c1,,数b1,実c1教c1数c1一c1教f1,,数e1,教f1数f1
アンチウィルスソフト|アンチウイルスソフト|アンチウイルスソフトウェア|アンチウイルスプログラム|ウイルス対策ソフトウェア|ワクチンプログラム,１イ;４ア,情報セキュリティ,マルウェアの害を防ぐためのソフトウェア,0.767 ,0.915 ,0.577 ,東21,東11東12実13実14数11数12日11第11,東S1実S1開S1数S1数S2日S1日S2第S1数s1日s1日s2,東J1実J1実J2数J1第J1数j1日j1,実s1開s1数s1日s1日s2第s1,東j1実j1実j2数j1日j1,教A1日A1日a1一d1,,数C1第C1一c1,日a1一d1学d1,,数c1一c1第c1一f1,一d1学d1,,数f1一f1第f1
アカウント,１イ,認証,PCなどを使用する個人に対応した単位。元はコンピュータの利用記録を取ったことからきた,0.426 ,0.405 ,0.414 ,,実11実12第11,実S1数S1,実J1数J1,,実j1,数A1,数B1,啓C1数C1,数a1,数b1,数c1啓f1,,,啓f1
ユーザID|ユーザーID,１イ,認証,PCなどを使用する個人に対応した番号等,0.805 ,0.891 ,0.758 ,東21,東12実11実12実13実14開11数11数12日11,東S1東S2実S1実S2開S1数S1数S2日S1日S2第S1数s1日s2,実J1実J2数J1第J1数j1日j1,東s1実s2開s1数s1日s2第s1,実j1実j2数j1日j1,東A1教A1数A1日A1第A1一a1日a1一d1,数B1教b1,実C1開C1数C1第C1一c1実f1,開a1数a1一a1日a1第a1一d1学d1,教b1数b1教e1,開c1数c1一c1第c1実f1啓f1一f1,開d1数d1一d1第d1学d1,教e1数e1,実f1啓f1数f1一f1第f1
パスワード,１イ,認証,アカウントやユーザIDを勝手な使用から守る合言葉,1.000 ,0.930 ,0.969 ,東21,東11東12実11実12実13実14開11数11数12日11日12第11,東S1東S2実S1実S2開S1数S1数S2日S1日S2第S1数s1日s1日s2,東J1実J1実J2数J1第J1数j1,東s1実s2開s1数s1日s1日s2第s1,東j1実j1実j2数j1,東A1実A1開A1教A1啓A1啓A2数A1日A1第A1実a1清a1一a1日a1実d1一d1,啓B1数B1教b1,実C1開C1啓C1数C1日C1第C1実c1教c1一c1実f1オf1,実a1開a1教a1清a1数a1一a1日a1第a1東d1実d1教d1一d1学d1,教b1数b1日b1第b1教e1啓e1,実c1開c1教c1数c1一c1日c1第c1実f1教f1啓f1一f1オf1,東d1実d1開d1教d1清d1数d1一d1日d1第d1学d1,教e1清e1啓e1日e1学e1,実f1教f1啓f1数f1一f1日f1オf1第f1
認証,１イ;４ア,認証,ユーザが誰であるかを確認すること,0.628 ,0.489 ,0.622 ,東21,東11実13実14開11日11,,実J1日j1,,実j1日j1,東A1教A1啓A1第A1清a1,開B1啓B1日B1教b1,啓C1第C1,清a1第a1,教b1日b1第b1,第c1一f1,清d1第d1,清e1学e1,清f1一f1第f1
個人認証,１イ;４ア,認証,ユーザが誰であるかを確認すること,0.473 ,0.555 ,0.495 ,,東12日12第11,開S1日S1日S2第S1日s1日s2,第J1,日s1日s2第s1,,教A1一a1,,開C1日C1一c1,一a1,,開c1一c1日c1,,日e1,日f1
改ざん|改竄,１イ;４ア,認証,情報を不当に書き換えること,0.473 ,0.467 ,0.596 ,,開11日12第11,開S1日S1第S1,第J1,開s1第s1,,開A1日A1日a1,開B1教b1,開C1第C1教c1,日a1,開b1教b1第b1教e1,開c1教c1第c1教f1,日d1,開e1教e1学e1,教f1第f1
生体認証,１イ;４ア,認証,指紋や手の静脈などの生体情報を用いた認証,0.663 ,0.560 ,0.099 ,東21日21,東11東12実14数12日11日12,東S1東S2日S1日S2日s1日s2,実J1日J1日j1,東s1日s1日s2,実j1日j1,,数B1,,,,,,,
電子認証,１イ;４ア,認証,確かに本人であることを認証局が電子的に証明する技術,0.452 ,0.489 ,0.283 ,東21,東11東12実13実14,東S2実S2,東J1実J1,東s1実s2,東j1実j1,教A1,実B1実b1,,教a1教d1,実b1,,教d1,,
2段階認証|二段階認証,１イ;４ア,認証,認証を二段階異なる手段で行うこと,0.473 ,,,東21実21日21,数11日12第11,,,,,,,,,,,,,
マルウェア,１イ;１ウ,マルウェア,害をなす意図をもって作成されたソフトウェア,0.727 ,0.651 ,,実21,実11実12実13実14数11数12日11日12第11,実S1実S2数S1数S2日S1第S1日s1,数J1日J1第J1,実s1実s2日s1第s1,,,,,,,,,,
トロイの木馬,１イ,マルウェア,有益なものと見せかけてインストールさせ、実は害をなすマルウェア,0.574 ,0.617 ,0.181 ,,東12実13数11第11,東S1実S1数S1第S1日s1,数J1第J1,実s1日s1第s1,,,,数C1第C1,,,,,,
ワーム,１イ,マルウェア,ネット経由で自分の複製を動かし増殖させるマルウェア,0.473 ,0.617 ,0.108 ,,東12実13第11,東S1実S1数S1第S1日s1,数J1第J1,実s1日s1第s1,,,第B1,啓C1,,,,,,
ウィルス|ウイルス|コンピュータウィルス|コンピュータウイルス|コンピュータウイルス（ウイルス）,１イ,マルウェア,他のプログラムに自分のコピーを移植することで広まるマルウェア,1.000 ,1.000 ,0.971 ,東21実21,東11東12実11実12実13実14開11数11数12日11日12第11,東S1東S2実S1実S2開S1数S1数S2日S1日S2第S1数s1日s1日s2,東J1実J1実J2数J1日J1第J1数j1日j1,東s1実s1実s2開s1数s1日s1日s2第s1,東j1実j1実j2数j1日j1,東A1実A1実A2開A1教A1啓A1啓A2数A1日A1第A1実a1清a1一a1日a1実d1一d1,実B1啓B1数B1日B1第B1実b1教b1実e1オe1,実C1開C1啓C1数C1日C1第C1実c1教c1一c1実f1,実a1開a1教a1清a1数a1一a1日a1東d1実d1教d1啓d1一d1暁d1学d1,実b1教b1数b1日b1第b1実e1教e1啓e1オe1,実c1開c1教c1数c1一c1日c1第c1実f1教f1啓f1一f1,東d1実d1開d1教d1清d1啓d1数d1一d1日d1暁d1学d1,実e1教e1清e1啓e1数e1日e1オe1学e1,実f1教f1清f1啓f1数f1一f1日f1第f1
スパイウェア,１イ,マルウェア,ユーザに気づかれずに個人情報・機密情報などを盗み出すマルウェア,0.608 ,0.688 ,0.099 ,,東12実11実12実13数11数12,実S1実S2数S1数S2日S1第S1数s1日s1,数J1日J1第J1数j1日j1,実s2数s1日s1第s1,数j1日j1,,数B1,,,,,,,
ランサムウェア,１イ,マルウェア,重要な情報を暗号化し、復元には対価をと要求するタイプのマルウェア,0.473 ,,,,実13数12第11,,,,,,,,,,,,,
キーロガー,１イ,マルウェア,キーボードの打鍵記録をとるソフトウェア。スパイウェアとして使われることも,0.608 ,0.766 ,,,東12実11実12実13数11数12,実S1実S2開S1数S1数S2第S1数s1日s2,数J1日J1第J1数j1,実s1実s2開s1数s1日s2第s1,数j1,,,,,,,,,
不正なアクセス|不正アクセス,１イ,不正アクセス,システム等に対する正当でないアクセス,0.767 ,0.886 ,0.712 ,,東11東12実11実12数11数12日12第11,東S1実S1実S2開S1数S1数S2日S1日S2第S1数s1日s1日s2,数J1日J1第J1数j1日j1,実s1実s2開s1数s1日s1日s2第s1,数j1日j1,実A1開A1教A1啓A1啓A2数A1日A1清a1日a1,啓B1,実C1啓C1日C1第C1実c1教c1,開a1教a1清a1日a1教d1学d1,,実c1教c1日c1第c1教f1啓f1,開d1教d1清d1日d1学d1,清e1日e1,教f1啓f1日f1第f1
情報漏えい|情報漏洩,１イ,不正アクセス,情報が正当でない形で読み出されること,0.541 ,0.368 ,,,実11実12開11日12,開S1日S1日S2日s2,,日s2,,,,,,,,,,
セキュリティホール|セキュリティーホール,１イ;４ア,不正アクセス,ソフトウェアの欠陥で、悪意あるソフトウェアに利用される可能性のあるもの,0.663 ,0.766 ,0.532 ,実21,実11実12実13開11日11第11,実S2開S1数S1日S2第S1数s1日s1日s2,数J1第J1数j1日j1,実s2開s1数s1日s1日s2第s1,数j1日j1,実A1教A1数A1日A1第A1,啓B1数B1日B1教b1,啓C1数C1日C1第C1,教a1教d1,教b1教e1,第c1,教d1,教e1,第f1
Firewall|ファイアウォール|ファイアウォール（防火壁）|ファイアーウォール|防火壁,１イ;４ア,不正アクセス,外部のネットと内部のネットの間に設置し、正当でないアクセスを防ぐ機器やソフト,1.000 ,1.000 ,0.915 ,東21日21,東11東12実11実12実13実14開11数11数12日11日12第11,東S1東S2実S1実S2開S1数S1数S2日S1日S2第S1数s1日s1日s2,実J1実J2数J1日J1第J1数j1日j1,東s1実s1実s2開s1数s1日s1日s2第s1,実j1実j2数j1日j1,東A1実A1実A2開A1教A1啓A1数A1日A1実a1清a1日a1実d1,実B1開B1啓B1数B1日B1第B1実b1教b1実e1,実C1開C1啓C1数C1日C1第C1実c1教c1一c1実f1,実a1開a1教a1清a1数a1日a1実d1教d1暁d1学d1,実b1開b1教b1日b1第b1実e1教e1,実c1開c1教c1数c1一c1日c1第c1実f1教f1啓f1,実d1開d1教d1清d1数d1日d1暁d1学d1,実e1開e1教e1清e1日e1学e1,実f1教f1清f1啓f1数f1日f1第f1
アクセスログ,１イ;４ア,不正アクセス,情報にアクセスした者や日時などの記録,0.426 ,0.400 ,0.108 ,日21,実11実12第11,実S2日s1,,実s2日s1,,実A1,,啓C1,,,,,,
サイバー犯罪,１イ;１ウ,サイバー犯罪,情報技術を利用した犯罪,0.767 ,0.886 ,0.419 ,東21,東11東12実13実14数12日11日12第11,東S1実S1実S2開S1数S1数S2日S1日S2第S1数s1日s1日s2,実J1実J2数J1日J1第J1数j1日j1,実s1実s2開s1数s1日s1日s2第s1,実j1実j2数j1日j1,実A1実A2日A1第A1実a1,実B1,実C1日C1実c1実f1,実a1,,実c1実f1,,,実f1
ワンクリック詐欺,１イ;１ウ,サイバー犯罪,Webでリンクやボタンなどの1動作に対して契約が成立したかのように言い募り金を請求する詐欺,0.663 ,0.780 ,,,東12実13数11数12日11日12,東S1東S2開S1数S1数S2日S1日S2第S1数s1日s1日s2,数J1日J1第J1数j1日j1,東s1数s1日s1日s2第s1,実j1数j1日j1,,,,,,,,,
フィッシング詐欺,１イ;１ウ,サイバー犯罪,Webで本来のサイトに似せたサイトに誘導して情報や料金を奪う詐欺,0.376 ,0.332 ,0.051 ,,実13開11,開S1日S2,,東s1,東j1実j1,,,第C1,,,,,,
サイバーテロ,１イ;１ウ,サイバー犯罪,重要インフラ事業者のシステムがサイバー攻撃を受け、国民生活等に甚大な支障が生じること,0.376 ,0.332 ,0.301 ,,日11第11,数S1第S1,数J1第J1,第s1,,教A1清a1,,実C1実c1,清a1,,実c1,,清e1,
チェーンメール,１イ;１ウ,サイバー犯罪,同じメールを複数発信しなければならないと思わせる文面のメール,0.426 ,0.917 ,0.777 ,,東12数11数12,東S1東S2実S1開S1数S1数S2日S2第S1数s1日s1日s2,東J1数J1第J1数j1,東s1実s1実s2開s1数s1日s1日s2第s1,東j1数j1,東A1実A1教A1啓A1数A1日A1清a1一a1日a1,数B1第B1,実C1数C1日C1第C1実c1実f1,開a1清a1数a1一a1日a1東d1暁d1学d1,数b1,実c1数c1日c1第c1実f1,東d1開d1清d1数d1日d1暁d1学d1,,実f1清f1数f1日f1第f1
デマ,１イ;１ウ,サイバー犯罪,正しくない、拡散を目的とした情報,0.473 ,0.489 ,0.273 ,,数12日12第11,数S1日S1第S1,数J1第J1日j1,第s1,日j1,日a1,,,日a1,,,日d1,,
フェイクニュース,１イ;１ウ,サイバー犯罪,正しいニュースを装った嘘の情報,0.608 ,,,,東11東12数11数12日11日12,,,,,,,,,,,,,
架空請求,１イ;１ウ,サイバー犯罪,実際には存在しない負債を挙げてお金を請求すること,0.568 ,0.754 ,0.057 ,,東12数11数12日11日12,東S1東S2実S1実S2数S1数S2日S2数s1日s1,東J1数J1日J1数j1日j1,東s1実s1実s2数s1日s1第s1,数j1日j1,教A1,,,,,,,,
不正アクセス禁止法|不正アクセス行為の禁止等に関する法律,１イ,サイバー犯罪,アクセス制御のあるシステムに対しその制御をバイパスして利用させることを禁じる法律,0.805 ,1.000 ,0.538 ,東21実21日21,東11東12実11実12実13数11数12日11第11,東S1東S2実S1実S2数S1数S2日S1日S2第S1数s1日s1日s2,東J1実J1実J2数J1日J1第J1数j1日j1,東s1実s1実s2数s1日s1日s2第s1,東j1実j1実j2数j1日j1,実A1教A1啓A1第A1,教b1,日C1教c1,教a1東d1教d1学d1,教b1教e1,教c1教f1,東d1教d1学d1,教e1清e1,教f1
なりすまし,１イ,サイバー犯罪,個人が別の人に成り代わること,0.541 ,0.729 ,0.722 ,,東11東12開11日12,東S1開S1数S1数S2日S2第S1日s1日s2,数J1日J1第J1,東s1開s1日s1日s2第s1,,東A1開A1教A1啓A1啓A2日A1一a1日a1,開B1教b1,開C1啓C1日C1第C1教c1,開a1教a1一a1日a1教d1暁d1学d1,開b1教b1教e1,開c1教c1日c1教f1,開d1教d1日d1暁d1第d1学d1,開e1教e1,教f1日f1
フィッシング,１イ,サイバー犯罪,Webで本来のサイトに似せたサイトに誘導すること,0.805 ,0.836 ,0.325 ,東21,東11東12実11実12数11数12日11日12第11,東S1東S2実S1実S2数S1数S2日S1第S1数s1日s1日s2,東J1実J2数J1日J1第J1数j1日j1,実s1実s2数s1日s1日s2第s1,実j2数j1日j1,実A1第A1日a1,数B1,数C1,日a1,,,,,
spamメール|スパムメール,１イ,サイバー犯罪,広告目的の、大量にばら撒かれるメール,0.426 ,0.766 ,0.491 ,,東12数11数12,東S1東S2実S1数S1数S2日S2第S1数s1日s2,東J1数J1第J1数j1,東s1実s1数s1日s2第s1,東j1数j1,東A1実A1啓A1数A1日A1日a1,数B1第B1,数C1日C1第C1,日a1東d1,日b1,日c1,東d1,,日f1
クラッカー,１イ,サイバー犯罪,システムに不正アクセスを行う人,0.473 ,0.617 ,0.541 ,,実13数11第11,実S2数S1第S1数s1,数J1日J1第J1数j1日j1,実s2数s1第s1,数j1日j1,啓A1数A1日A1日a1,数B1,数C1第C1一c1,数a1日a1暁d1学d1,,数c1一c1日c1,暁d1学d1,清e1日e1,数f1日f1
JIS|JIS（Japanese Industrial Standards）|JIS（Japanese Industrial Standard）|JIS（ジス）|Japanese Industrial Standard|日本工業規格|日本産業規格,１イ,規格や規格制定組織,日本工業規格,0.376 ,0.617 ,0.796 ,,東12数11,東S2実S1数S1数s1,東J1数J1日J1数j1日j1,実s1数s1,数j1日j1,啓A2数A1清a1,啓B1数B1日B1,実C1啓C1数C1第C1実c1教c1実f1,清a1数a1啓d1学d1,数b1日b1啓e1,実c1教c1数c1日c1第c1実f1教f1啓f1,清d1啓d1日d1学d1,啓e1数e1日e1,実f1教f1清f1啓f1日f1第f1
IEEE|米国電気電子学会,１イ,規格や規格制定組織,米国に本部を置く電気・情報分野の学会で、多くの規格も定めている,0.426 ,0.238 ,0.273 ,,東12実11実12,日s1,東J1,日s1,,東A1清a1,,,清a1,,,,,
ANSI,１イ,規格や規格制定組織,米国国家規格協会,0.426 ,,0.057 ,,東12実11実12,,,,,東A1,,,,,,,,
E-Commerce|E-コマース|EC|EC（Electronic Commerce）|Electronic Commerce|Eコマース|e-コマース|eコマース|エレクトロニックコマース|エレクトロニック・コマース|電子商取引,１ウ,電子商取引,電子的に行われる商取引,0.663 ,0.821 ,0.942 ,,東12実11実12日11日12第11,東S1東S2実S2数S1数S2日S1日S2数s1日s1日s2,東J1実J1数J1日J1数j1日j1,東s1実s2数s1日s1日s2第s1,東j1実j1数j1日j1,東A1実A1実A2開A1教A1啓A2日A1第A1実a1清a1一a1日a1実d1一d1,実B1開B1数B1日B1実b1実e1オe1,実C1開C1啓C1日C1第C1実c1教c1一c1実f1オf1,実a1開a1清a1一a1日a1第a1東d1実d1啓d1一d1暁d1オd1学d1,実b1開b1数b1日b1実e1啓e1オe1,実c1開c1教c1一c1日c1第c1実f1教f1啓f1オf1,東d1実d1開d1清d1啓d1一d1日d1暁d1オd1第d1学d1,実e1開e1清e1啓e1日e1オe1,実f1教f1清f1啓f1日f1オf1第f1
インターネットバンキング,１ウ,電子商取引,インターネットを通じた銀行の利用,0.426 ,0.346 ,0.454 ,,実11実12日11,,日J1日j1,,日j1,教A1,,啓C1日C1一c1,教a1東d1教d1暁d1,,一c1一f1,東d1教d1暁d1,,一f1
オンラインオークション|ネットオークション|ネット・オークション,１ウ,電子商取引,ネットを通して行われるオークション,0.376 ,0.668 ,0.426 ,,東12日11,東S1東S2数S1日S2数s1日s1日s2,東J1数J1日J1数j1日j1,東s1数s1日s1日s2,東j1数j1日j1,東A1日A1日a1,開B1,開C1数C1日C1,日a1暁d1,日b1,開c1,暁d1,日e1,
ネットショッピング,１ウ,電子商取引,ネットショップでの買い物,0.473 ,0.652 ,0.414 ,,東12数11日11,東S1実S1数S1日S2日s2,東J1実J2数J1日J1日j1,実s1日s2,東j1日j1,東A1開A1,開B1,開C1オf1,,,開c1オf1,,,オf1
